capture	node.sqlite
device_rows_graph_trace	0
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4813258.0
median_span_ns_pct_of_span	100.0
median_device_busy_ns	4088614.5
median_device_busy_ns_pct_of_span	84.9
median_device_idle_ns	710081.5
median_device_idle_ns_pct_of_span	14.8
median_idle_between_device_rows_ns	165361.5
median_idle_between_device_rows_ns_pct_of_span	3.4
median_idle_outside_device_work_ns	524411.5
median_idle_outside_device_work_ns_pct_of_span	10.9
median_api_host_ns	4774069.5
median_api_host_ns_pct_of_span	99.2
median_sync_host_ns	4237183.0
median_sync_host_ns_pct_of_span	88.0
median_host_uncovered_ns	40867.5
median_host_uncovered_ns_pct_of_span	0.8
min_span_ns	4439103
max_span_ns	27456226
min_device_busy_ns	3801312
max_device_busy_ns	26158545
min_device_idle_ns	634601
max_device_idle_ns	3341413
min_idle_between_device_rows_ns	115911
max_idle_between_device_rows_ns	2696381
min_idle_outside_device_work_ns	514202
max_idle_outside_device_work_ns	753032
min_api_host_ns	4404455
max_api_host_ns	27378869
min_sync_host_ns	3863065
max_sync_host_ns	26716940
min_host_uncovered_ns	34194
max_host_uncovered_ns	82854
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
