capture	graph.sqlite
device_rows_graph_trace	63
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4261218.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	3998586.0
median_device_busy_ns_pct_of_span	93.8
median_device_idle_ns	236951.0
median_device_idle_ns_pct_of_span	5.6
median_idle_between_device_rows_ns	91201.0
median_idle_between_device_rows_ns_pct_of_span	2.1
median_idle_outside_device_work_ns	139079.5
median_idle_outside_device_work_ns_pct_of_span	3.3
median_api_host_ns	4226750.0
median_api_host_ns_pct_of_span	99.2
median_sync_host_ns	4067461.0
median_sync_host_ns_pct_of_span	95.5
median_host_uncovered_ns	33248.5
median_host_uncovered_ns_pct_of_span	0.8
min_span_ns	3965771
max_span_ns	4521318
min_device_busy_ns	3741607
max_device_busy_ns	4228077
min_device_idle_ns	216400
max_device_idle_ns	420411
min_idle_between_device_rows_ns	79969
max_idle_between_device_rows_ns	274627
min_idle_outside_device_work_ns	135700
max_idle_outside_device_work_ns	197467
min_api_host_ns	3933957
max_api_host_ns	4483285
min_sync_host_ns	3773106
max_sync_host_ns	4314978
min_host_uncovered_ns	29464
max_host_uncovered_ns	49039
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
