model	file	targets	wall_ms	called	entries	id_exact	id_missing	id_invented	crux_in_range	crux_zero	crux_bad	outcome
lfm25-8b-a1b	sys/arch/rp2040/dev/flash_swap.c	-	-	-	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	sys/kern/kern_mman.c	-	-	-	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	sys/arch/rp2040/rp2040/sig_machdep.c	-	-	-	-	-	-	-	-	-	-	launch_failed
lfm25-12b-instruct	sys/arch/rp2040/dev/flash_swap.c	2	669	no	0	0	2	0	0	0	0	no_call
lfm25-12b-instruct	sys/kern/kern_mman.c	2	294	no	0	0	2	0	0	0	0	no_call
lfm25-12b-instruct	sys/arch/rp2040/rp2040/sig_machdep.c	3	491	no	0	0	3	0	0	0	0	no_call
smollm3-3b	sys/arch/rp2040/dev/flash_swap.c	2	2953	no	0	0	2	0	0	0	0	no_call
smollm3-3b	sys/kern/kern_mman.c	2	535	no	0	0	2	0	0	0	0	no_call
smollm3-3b	sys/arch/rp2040/rp2040/sig_machdep.c	3	1284	no	0	0	3	0	0	0	0	no_call
phi4-mini	sys/arch/rp2040/dev/flash_swap.c	-	-	-	-	-	-	-	-	-	-	launch_failed
phi4-mini	sys/kern/kern_mman.c	-	-	-	-	-	-	-	-	-	-	launch_failed
phi4-mini	sys/arch/rp2040/rp2040/sig_machdep.c	-	-	-	-	-	-	-	-	-	-	launch_failed
symbols_done
