monotonic_s	event	outcome
577667	holder.1.release	terminated
577667	holder.1.launcher	terminated
577678	holder.2.release	terminated
577678	holder.2.launcher	terminated
577678	client.release	terminated
577678	client.launcher	terminated
577683	arm_g.exit_with_client_attached	no
577683	client.release	terminated
577683	client.launcher	terminated
577683	holder.3.release	terminated
577683	holder.3.launcher	terminated
577688	holder.4.release	terminated
577688	holder.4.launcher	terminated
577690	server.3.stop	terminated
577690	holder.5.release	terminated
577690	holder.5.launcher	terminated
