capture	node.sqlite
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	5851582.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	4163113.5
median_device_busy_ns_pct_of_span	71.1
median_device_idle_ns	1577735.5
median_device_idle_ns_pct_of_span	27.0
median_api_host_ns	5749297.0
median_api_host_ns_pct_of_span	98.3
median_sync_host_ns	4446124.5
median_sync_host_ns_pct_of_span	76.0
median_host_uncovered_ns	97634.0
median_host_uncovered_ns_pct_of_span	1.7
min_span_ns	5297894
max_span_ns	21568881
min_device_busy_ns	3866955
max_device_busy_ns	18908738
min_device_idle_ns	1095524
max_device_idle_ns	4543338
min_api_host_ns	5199110
max_api_host_ns	21407942
min_sync_host_ns	4108745
max_sync_host_ns	19925275
min_host_uncovered_ns	74789
max_host_uncovered_ns	1118577
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
