capture	graph.sqlite
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4515324.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	56432.5
median_device_busy_ns_pct_of_span	1.2
median_device_idle_ns	4456380.5
median_device_idle_ns_pct_of_span	98.7
median_api_host_ns	4454856.5
median_api_host_ns_pct_of_span	98.7
median_sync_host_ns	4197533.0
median_sync_host_ns_pct_of_span	93.0
median_host_uncovered_ns	68554.5
median_host_uncovered_ns_pct_of_span	1.5
min_span_ns	4139589
max_span_ns	12941770
min_device_busy_ns	55361
max_device_busy_ns	66688
min_device_idle_ns	4083461
max_device_idle_ns	12885130
min_api_host_ns	4093004
max_api_host_ns	12842967
min_sync_host_ns	3866645
max_sync_host_ns	12519348
min_host_uncovered_ns	46585
max_host_uncovered_ns	148866
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
