0.00.031.121 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.031.286 I srv          init: The UI is disabled
0.00.031.288 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.031.367 W srv  llama_server: -----------------
0.00.031.367 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.031.368 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.031.368 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.031.368 W srv  llama_server: -----------------
0.00.032.758 I srv    load_model: loading model '$HOME/models/Qwen3.5-0.8B-GGUF/Qwen3.5-0.8B-Q8_0.gguf'
0.00.897.313 W model has unused tensor blk.24.attn_norm.weight (size = 4096 bytes) -- ignoring
0.00.897.323 W model has unused tensor blk.24.post_attention_norm.weight (size = 4096 bytes) -- ignoring
0.00.897.334 W model has unused tensor blk.24.attn_q.weight (size = 4456448 bytes) -- ignoring
0.00.897.338 W model has unused tensor blk.24.attn_k.weight (size = 557056 bytes) -- ignoring
0.00.897.343 W model has unused tensor blk.24.attn_v.weight (size = 557056 bytes) -- ignoring
0.00.897.355 W model has unused tensor blk.24.attn_output.weight (size = 2228224 bytes) -- ignoring
0.00.897.359 W model has unused tensor blk.24.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.897.363 W model has unused tensor blk.24.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.897.368 W model has unused tensor blk.24.ffn_gate.weight (size = 3899392 bytes) -- ignoring
0.00.897.372 W model has unused tensor blk.24.ffn_down.weight (size = 3899392 bytes) -- ignoring
0.00.897.376 W model has unused tensor blk.24.ffn_up.weight (size = 3899392 bytes) -- ignoring
0.00.897.383 W model has unused tensor blk.24.nextn.eh_proj.weight (size = 2228224 bytes) -- ignoring
0.00.897.389 W model has unused tensor blk.24.nextn.enorm.weight (size = 4096 bytes) -- ignoring
0.00.897.394 W model has unused tensor blk.24.nextn.hnorm.weight (size = 4096 bytes) -- ignoring
0.00.897.405 W model has unused tensor blk.24.nextn.shared_head_norm.weight (size = 4096 bytes) -- ignoring
0.01.215.867 I cmn          init: llama threadpool init, n_threads = 6
0.01.286.625 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 4096, kv_unified = 'false'
0.01.286.831 W srv          init: --cache-idle-slots requires --cache-ram, disabling
0.01.293.625 I srv  llama_server: model loaded
0.01.293.637 I srv  llama_server: listening on http://127.0.0.1:18120
0.01.517.599 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.01.517.624 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.01.688.707 I slot print_timing: id  0 | task 0 | prompt eval time =      29.59 ms /    17 tokens (    1.74 ms per token,   574.56 tokens per second)
0.01.688.715 I slot print_timing: id  0 | task 0 |        eval time =     141.46 ms /    32 tokens (    4.56 ms per token,   219.14 tokens per second)
0.01.688.716 I slot print_timing: id  0 | task 0 |       total time =     171.05 ms /    49 tokens
0.01.688.725 I slot print_timing: id  0 | task 0 |    graphs reused =         30
0.01.688.788 I slot      release: id  0 | task 0 | stop processing: n_tokens = 48, truncated = 0
0.01.691.390 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.354
0.01.691.446 I slot launch_slot_: id  0 | task 33 | processing task, is_child = 0
0.01.830.499 I slot print_timing: id  0 | task 33 | prompt eval time =      11.27 ms /    18 tokens (    0.63 ms per token,  1597.59 tokens per second)
0.01.830.506 I slot print_timing: id  0 | task 33 |        eval time =     127.76 ms /    32 tokens (    4.12 ms per token,   242.64 tokens per second)
0.01.830.507 I slot print_timing: id  0 | task 33 |       total time =     139.03 ms /    50 tokens
0.01.830.508 I slot print_timing: id  0 | task 33 |    graphs reused =         60
0.01.830.530 I slot      release: id  0 | task 33 | stop processing: n_tokens = 49, truncated = 0
0.01.832.252 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.388
0.01.832.275 I slot launch_slot_: id  0 | task 66 | processing task, is_child = 0
0.01.970.205 I slot print_timing: id  0 | task 66 | prompt eval time =      10.24 ms /    19 tokens (    0.54 ms per token,  1855.83 tokens per second)
0.01.970.214 I slot print_timing: id  0 | task 66 |        eval time =     127.68 ms /    32 tokens (    4.12 ms per token,   242.80 tokens per second)
0.01.970.215 I slot print_timing: id  0 | task 66 |       total time =     137.92 ms /    51 tokens
0.01.970.216 I slot print_timing: id  0 | task 66 |    graphs reused =         90
0.01.970.237 I slot      release: id  0 | task 66 | stop processing: n_tokens = 50, truncated = 0
0.01.972.393 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.950 (> 0.100 thold), f_keep = 0.380
0.01.972.425 I slot launch_slot_: id  0 | task 99 | processing task, is_child = 0
0.02.113.630 I slot print_timing: id  0 | task 99 | prompt eval time =       9.38 ms /    20 tokens (    0.47 ms per token,  2132.65 tokens per second)
