model	file	targets	entries	id_exact	id_missing	id_invented	id_duplicate	summary_blank	crux_in_range	crux_zero	crux_bad	crux_ungradeable	outcome
qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	2	2	2	0	0	0	0	2	0	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/rp2040/exec_hsaout.c	6	6	6	0	0	0	0	6	0	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/dev/uart.c	19	19	19	0	0	0	0	19	0	0	0	pass
qwen38-4b-distill	sys/arch/rp2040/rp2040/swapram.c	36	36	36	0	0	0	0	33	0	0	3	pass
qwen38-4b-distill	sys/arch/rp2040/rp2040/mpu.c	5	5	5	0	0	0	0	5	0	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/flash_swap.c	2	2	2	0	0	0	0	2	0	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/exec_hsaout.c	6	6	6	0	0	0	0	6	0	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/dev/uart.c	19	19	19	0	0	0	0	19	0	0	0	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/swapram.c	36	36	36	0	0	0	0	33	0	0	3	pass
qwen3-4b-instruct-2507	sys/arch/rp2040/rp2040/mpu.c	5	5	5	0	0	0	0	5	0	0	0	pass
