geometry_runtime_sha256	c6087c41627515ac27fa1c7efa361632596c62730710b1e9acae5b3b9c61cb00
runtime_protocol_version	4
retirement_authorization_s	30
ordinary_user	accepted	yes
in_tree_execution_policy.geometry-cube-orbit-a-retire	refused
in_tree_execution_policy.geometry-cube-orbit-a-wall	refused
in_tree_execution_policy.geometry-cube-orbit-a-appbudget	refused
subject_execution_policy	validator-gated
rays_requested	65536
host_load_1m_before	1.47
gpu_utilization_before_percent	1
exit.shutdown	accepted	0
retirement.shutdown	accepted	shutdown
authorized.shutdown	accepted	True
workers_after.shutdown	accepted	0
lease_free_after.shutdown	accepted	free
exit.request-limit	accepted	0
retirement.request-limit	accepted	request_limit
authorized.request-limit	accepted	True
workers_after.request-limit	accepted	0
lease_free_after.request-limit	accepted	free
exit.idle-timeout	accepted	0
retirement.idle-timeout	accepted	idle_timeout
authorized.idle-timeout	accepted	True
workers_after.idle-timeout	accepted	0
lease_free_after.idle-timeout	accepted	free
exit.session-limit	accepted	0
retirement.session-limit	accepted	session_limit
authorized.session-limit	accepted	True
workers_after.session-limit	accepted	0
lease_free_after.session-limit	accepted	free
exit.residency-unread	accepted	1
terminated.residency-unread	accepted	resident-terminated
ownership.residency-unread	accepted	owned
workers_after.residency-unread	accepted	0
lease_free_after.residency-unread	accepted	free
exit.residency-over	accepted	1
terminated.residency-over	accepted	resident-terminated
ownership.residency-over	accepted	owned
workers_after.residency-over	accepted	0
lease_free_after.residency-over	accepted	free
exit.application-serves	accepted	0
retirement.application-serves	accepted	shutdown
authorized.application-serves	accepted	True
workers_after.application-serves	accepted	0
lease_free_after.application-serves	accepted	free
exit.application-ceiling	accepted	0
retirement.application-ceiling	accepted	budget_exceeded
authorized.application-ceiling	accepted	True
workers_after.application-ceiling	accepted	0
lease_free_after.application-ceiling	accepted	free
drip_elapsed_s	30.1
drip_idle_bound_s	6
drip_wall_bound_s	8
drip_announced_s	6.150
drip_announces_on_its_bound	accepted	yes
drip_ends_inside_its_authorization_window	accepted	yes
drip_retirement	accepted	idle_timeout
drip_authorized	accepted	false
drip_emergency_recorded	accepted	1
host_load_1m_after	1.97
gpu_utilization_after_percent	64
workers_after_run	accepted	0
cuda_clients_after	3
checks_total	47
checks_failed	0
