capture	graph.sqlite
device_rows_graph_trace	63
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	3171335.0
median_span_ns_pct_of_span	100.0
median_device_busy_ns	2942125.5
median_device_busy_ns_pct_of_span	92.8
median_device_idle_ns	222359.0
median_device_idle_ns_pct_of_span	7.0
median_idle_between_device_rows_ns	84512.5
median_idle_between_device_rows_ns_pct_of_span	2.7
median_idle_outside_device_work_ns	136060.0
median_idle_outside_device_work_ns_pct_of_span	4.3
median_api_host_ns	3140507.0
median_api_host_ns_pct_of_span	99.0
median_sync_host_ns	2985411.0
median_sync_host_ns_pct_of_span	94.1
median_host_uncovered_ns	30063.0
median_host_uncovered_ns_pct_of_span	0.9
min_span_ns	2928669
max_span_ns	5064579
min_device_busy_ns	2713100
max_device_busy_ns	4064786
min_device_idle_ns	214359
max_device_idle_ns	999793
min_idle_between_device_rows_ns	79008
max_idle_between_device_rows_ns	862052
min_idle_outside_device_work_ns	134396
max_idle_outside_device_work_ns	214844
min_api_host_ns	2898319
max_api_host_ns	5034098
min_sync_host_ns	2744651
max_sync_host_ns	4877867
min_host_uncovered_ns	29345
max_host_uncovered_ns	60573
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
