model_id	lfm25-vl-450m
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-b4ea7cc19274
server_sha256	7a0aa0e309877725f4421f7643214f5ff09871207275ee3ad8609eec17a5015a
images	bars.png compare-a.png shapes.png
repeats	2
predict_tokens	48
arms	host device host-close
model_sha256	1093f1331319199bbcacdbd7ecc9aa6e5678db6b55073948d0f508be90c8ab68
projector	mmproj-LFM2.5-VL-450m-Q8_0.gguf
projector_sha256	ebfc428baa37efad8bae93864f914b2634a09009f91ad59f974fe1a1565d8561
geometry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
clients_open	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
arm:host:embd_device	off
arm:host:01-bars	completed prompt_n=116 prompt_ms=96.552
arm:host:02-compare-a	completed prompt_n=105 prompt_ms=13.495
arm:host:03-shapes	completed prompt_n=105 prompt_ms=13.968
arm:host:04-bars	completed prompt_n=116 prompt_ms=13.433
arm:host:05-compare-a	completed prompt_n=105 prompt_ms=12.263
arm:host:06-shapes	completed prompt_n=105 prompt_ms=12.65
arm:host:trace_rows	12
arm:device:embd_device	on
arm:device:01-bars	completed prompt_n=116 prompt_ms=70.376
arm:device:02-compare-a	completed prompt_n=105 prompt_ms=24.139
arm:device:03-shapes	completed prompt_n=105 prompt_ms=21.424
arm:device:04-bars	completed prompt_n=116 prompt_ms=18.172
arm:device:05-compare-a	completed prompt_n=105 prompt_ms=15.039
arm:device:06-shapes	completed prompt_n=105 prompt_ms=12.763
arm:device:trace_rows	12
arm:host-close:embd_device	off
arm:host-close:01-bars	completed prompt_n=116 prompt_ms=68.25
arm:host-close:02-compare-a	completed prompt_n=105 prompt_ms=22.993
arm:host-close:03-shapes	completed prompt_n=105 prompt_ms=19.817
arm:host-close:04-bars	completed prompt_n=116 prompt_ms=17.489
arm:host-close:05-compare-a	completed prompt_n=105 prompt_ms=13.518
arm:host-close:06-shapes	completed prompt_n=105 prompt_ms=13.693
arm:host-close:trace_rows	12
clients_close	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
comparison_refusals	0
verdict	admitted
