model_id	qwen38-2b-distill
control_sha256	1f5012f14b0d81465646bc55bbc54fab3375e1fed8d173d9c836928994d5f4d6
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-f35fe5a95a43/bin/llama-server
subject_sha256	1f5012f14b0d81465646bc55bbc54fab3375e1fed8d173d9c836928994d5f4d6
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-f35fe5a95a43/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	33966
