model	contract	wall_ms	finish	names_enforcer	draws_distinction	conflates	invented	invented_list	outcome
lfm25-8b-a1b	swap-append	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	exec-preflight	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	usb-ownership	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	signal-frame	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	heap-refusal	-	-	-	-	-	-	-	launch_failed
lfm25-8b-a1b	swapram-exclusion	-	-	-	-	-	-	-	launch_failed
lfm25-12b-instruct	swap-append	171	stop	no	no	no	0	-	fail
lfm25-12b-instruct	exec-preflight	273	stop	no	yes	no	0	-	fail
lfm25-12b-instruct	usb-ownership	680	stop	no	yes	no	0	-	fail
lfm25-12b-instruct	signal-frame	263	stop	yes	yes	no	0	-	pass
lfm25-12b-instruct	heap-refusal	237	stop	yes	no	no	0	-	fail
lfm25-12b-instruct	swapram-exclusion	249	stop	no	no	no	0	-	fail
smollm3-3b	swap-append	4607	stop	yes	yes	no	0	-	pass
smollm3-3b	exec-preflight	5570	stop	yes	yes	no	0	-	pass
smollm3-3b	usb-ownership	8575	length	no	yes	no	0	-	fail
smollm3-3b	signal-frame	6364	length	yes	yes	no	0	-	pass
smollm3-3b	heap-refusal	6056	length	yes	yes	no	1	libc/sbrk.c	fail
smollm3-3b	swapram-exclusion	6903	length	yes	no	no	0	-	fail
phi4-mini	swap-append	-	-	-	-	-	-	-	launch_failed
phi4-mini	exec-preflight	-	-	-	-	-	-	-	launch_failed
phi4-mini	usb-ownership	-	-	-	-	-	-	-	launch_failed
phi4-mini	signal-frame	-	-	-	-	-	-	-	launch_failed
phi4-mini	heap-refusal	-	-	-	-	-	-	-	launch_failed
phi4-mini	swapram-exclusion	-	-	-	-	-	-	-	launch_failed
contracts_done
