arm	request	label	phase	path	detail	src0_type	src1_type	dst_type	mode	graphs	distinct_shapes	dispatch_launches	graph_replays
V2-qwen35-4b-base	outside	outside	text_decode	MMVQ	-	q6_K	f32	f32	eager	1	1	1	0
V2-qwen35-4b-base	outside	outside	text_prefill	MMVQ	-	q4_K	f32	f32	eager	1	131	131	0
V2-qwen35-4b-base	outside	outside	text_prefill	MMVQ	-	q5_K	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	outside	outside	text_prefill	MMVQ	-	q6_K	f32	f32	eager	1	21	21	0
V2-qwen35-4b-base	outside	outside	text_prefill	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r1	text-only	graph_replay	graph_replay	-	-	-	-	replay	29	0	0	29
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q4_K	f32	f32	capture	1	43	43	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q4_K	f32	f32	eager	1	43	43	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q5_K	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q5_K	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q6_K	f32	f32	capture	1	6	6	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q6_K	f32	f32	eager	2	6	7	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q8_0	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	fused	q4_K	f32	f32	capture	1	56	56	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	fused	q4_K	f32	f32	eager	1	56	56	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	fused	q6_K	f32	f32	capture	1	16	16	0
V2-qwen35-4b-base	r1	text-only	text_decode	MMVQ	fused	q6_K	f32	f32	eager	1	16	16	0
V2-qwen35-4b-base	r1	text-only	text_prefill	MMQ	-	q4_K	f32	f32	eager	1	131	131	0
V2-qwen35-4b-base	r1	text-only	text_prefill	MMQ	-	q5_K	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r1	text-only	text_prefill	MMQ	-	q6_K	f32	f32	eager	1	21	21	0
V2-qwen35-4b-base	r1	text-only	text_prefill	MMQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	graph_replay	graph_replay	-	-	-	-	replay	29	0	0	29
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q4_K	f32	f32	eager	3	393	393	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q5_K	f32	f32	eager	3	144	144	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q6_K	f32	f32	eager	2	42	42	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q8_0	f32	f32	eager	2	96	96	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMVQ	-	q6_K	f32	f32	eager	1	21	21	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	llm_prefill_from_image_embeddings	cuBLAS	cublasGemmEx/F16	f16	f16	f32	eager	1	1	2	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q4_K	f32	f32	capture	1	43	43	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q4_K	f32	f32	eager	1	43	43	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q5_K	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q5_K	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q6_K	f32	f32	capture	1	6	6	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q6_K	f32	f32	eager	2	6	7	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q8_0	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	fused	q4_K	f32	f32	capture	1	56	56	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	fused	q4_K	f32	f32	eager	1	56	56	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	fused	q6_K	f32	f32	capture	1	16	16	0
V2-qwen35-4b-base	r2	cold-image	post_image_decode	MMVQ	fused	q6_K	f32	f32	eager	1	16	16	0
V2-qwen35-4b-base	r2	cold-image	projector	cuBLAS	cublasGemmEx/F16	f16	f32	f32	eager	1	2	2	0
V2-qwen35-4b-base	r2	cold-image	vision_encoder	cuBLAS	cublasGemmEx/F16	f16	f32	f32	eager	1	96	96	0
V2-qwen35-4b-base	r3	warm-image	graph_replay	graph_replay	-	-	-	-	replay	29	0	0	29
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMQ	-	q4_K	f32	f32	eager	3	393	393	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMQ	-	q5_K	f32	f32	eager	3	144	144	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMQ	-	q6_K	f32	f32	eager	2	42	42	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMQ	-	q8_0	f32	f32	eager	2	96	96	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMVQ	-	q6_K	f32	f32	eager	1	21	21	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r3	warm-image	llm_prefill_from_image_embeddings	cuBLAS	cublasGemmEx/F16	f16	f16	f32	capture	1	1	2	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q4_K	f32	f32	capture	1	43	43	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q4_K	f32	f32	eager	1	43	43	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q5_K	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q5_K	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q6_K	f32	f32	capture	1	6	6	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q6_K	f32	f32	eager	2	6	7	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q8_0	f32	f32	capture	1	48	48	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	-	q8_0	f32	f32	eager	1	48	48	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	fused	q4_K	f32	f32	capture	1	56	56	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	fused	q4_K	f32	f32	eager	1	56	56	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	fused	q6_K	f32	f32	capture	1	16	16	0
V2-qwen35-4b-base	r3	warm-image	post_image_decode	MMVQ	fused	q6_K	f32	f32	eager	1	16	16	0
V2-qwen35-4b-base	r3	warm-image	projector	cuBLAS	cublasGemmEx/F16	f16	f32	f32	capture	1	2	2	0
V2-qwen35-4b-base	r3	warm-image	vision_encoder	cuBLAS	cublasGemmEx/F16	f16	f32	f32	capture	1	96	96	0
