# sample 1
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     28      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      9      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      9      0      -      -      -      -    vulkan-graphics
# sample 2
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     48      4      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      -      -      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      -      -      -      -      -      -    vulkan-graphics
# sample 3
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     32      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      8      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      8      0      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      -      -      -      -      -      -    vulkan-graphics
# sample 4
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     32      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      8      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      7      0      -      -      -      -    vulkan-graphics
# sample 5
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     16      1      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G     15      1      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G     16      1      -      -      -      -    vulkan-graphics
# sample 6
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     14      1      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G     20      1      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G     13      1      -      -      -      -    vulkan-graphics
# sample 7
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     27      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G      6      0      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G     14      1      -      -      -      -    vulkan-graphics
# sample 8
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     29      2      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G     12      1      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G      6      0      -      -      -      -    vulkan-graphics
# sample 9
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     17      1      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G     18      1      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G     12      1      -      -      -      -    vulkan-graphics
# sample 10
# gpu         pid   type     sm    mem    enc    dec    jpg    ofa    command 
# Idx           #    C/G      %      %      %      %      %      %    name 
    0       1942   C+G     22      1      -      0      -      -    kwin_wayland   
    0       2062     G      -      -      -      -      -      -    Xwayland       
    0       2070     G      -      -      -      -      -      -    plasmashell    
    0       2125     G      -      -      -      -      -      -    xdg-desktop-por
    0       2232     G      -      -      -      -      -      -    firefox        
    0       2239     G     16      1      -      -      -      -    krfb           
    0     483457   C+G      -      -      -      -      -      -    renderD128 --cr
    0     483747   C+G      -      -      -      -      -      -                   
    0    2512578     G      -      -      -      -      -      -    Codex --change-
    0    3295021   C+G     11      0      -      -      -      -    vulkan-graphics
