monotonic_s	event	outcome
577605	holder.1.release	terminated
577605	holder.1.launcher	terminated
577618	holder.2.release	terminated
577618	holder.2.launcher	terminated
577618	client.release	terminated
577618	client.launcher	terminated
577623	arm_g.exit_with_client_attached	no
577623	client.release	terminated
577623	client.launcher	terminated
577624	holder.3.release	terminated
577624	holder.3.launcher	terminated
577629	holder.4.release	terminated
577629	holder.4.launcher	terminated
577631	server.3.stop	terminated
577631	holder.5.release	terminated
577631	holder.5.launcher	terminated
577641	holder.6.release	terminated
577641	holder.6.launcher	terminated
577643	server.5.stop	terminated
