model_id	qwen38-2b-distill
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-b468187f6ada
server_sha256	639b3fbec52ad7affb8eab01feff6f23e114f8bd785c1b43b843464bf5fdfa96
prompt_rows	3900
predict_tokens	64
arms	full tails full-close
bounds	allocated<=62914560 median_us<=2000 p95_us<=10000
require_boundaries	1
geometry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
clients_open	1942, /usr/bin/kwin_wayland;3551735, /opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192;
arm:full:residency	full
arm:full:placement	b30ada0b80b8c5097b9ce8a5ec98f2627b1a45981ffbfa9a0f9eefa37b2ccbcf
arm:full:prompt_sha256	eeacb702911cd7a753bf21d1eb74556486704ea3526e6b575d676874763fa903
arm:full:a:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full:a:prompt_n	3900
arm:full:save-a	completed
arm:full:state_a_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:full:erase-a	completed
arm:full:restore-a	completed
arm:full:b:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full:b:prompt_n	3900
arm:full:c:tokens_sha256	9aaeab4028c8cbc04faeec96056fc364303b8a2cadbd03e26826f4a30f08375d
arm:full:c:prompt_n	7
arm:full:d:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full:d:prompt_n	4
arm:full:save-d	completed
arm:full:state_d_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:full:replies_abd	identical
arm:full:state_ad	identical
arm:full:layout	layout_holds
arm:full:residency_commits
arm:full:residency_reclaims
arm:full:residency_refusals
arm:full:kv_physical_allocated_max_bytes
arm:full:kv_physical_allocated_final_bytes
arm:full:kv_physical_released_final_bytes
arm:full:memory_saved_bytes	0
arm:full:commit_latency_us_median
arm:full:commit_latency_us_p95
arm:full:commit_latency_us_max
arm:full:reclaim_latency_us_median
arm:full:reclaim_latency_us_p95
arm:full:reclaim_latency_us_max
arm:tails:residency	tails
arm:tails:placement	b30ada0b80b8c5097b9ce8a5ec98f2627b1a45981ffbfa9a0f9eefa37b2ccbcf
arm:tails:prompt_sha256	eeacb702911cd7a753bf21d1eb74556486704ea3526e6b575d676874763fa903
arm:tails:a:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:tails:a:prompt_n	3900
arm:tails:save-a	completed
arm:tails:state_a_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:tails:erase-a	completed
arm:tails:restore-a	completed
arm:tails:b:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:tails:b:prompt_n	3900
arm:tails:c:tokens_sha256	9aaeab4028c8cbc04faeec96056fc364303b8a2cadbd03e26826f4a30f08375d
arm:tails:c:prompt_n	7
arm:tails:d:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:tails:d:prompt_n	4
arm:tails:save-d	completed
arm:tails:state_d_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:tails:replies_abd	identical
arm:tails:state_ad	identical
arm:tails:layout	layout_holds
arm:tails:residency_commits	5
arm:tails:residency_reclaims	3
arm:tails:residency_refusals	0
arm:tails:kv_physical_allocated_max_bytes	37748736
arm:tails:kv_physical_allocated_final_bytes	37748736
arm:tails:kv_physical_released_final_bytes	37748736
arm:tails:memory_saved_bytes	289406976
arm:tails:commit_latency_us_median	629
arm:tails:commit_latency_us_p95	796
arm:tails:commit_latency_us_max	796
arm:tails:reclaim_latency_us_median	458
arm:tails:reclaim_latency_us_p95	536
arm:tails:reclaim_latency_us_max	536
arm:tails:lifecycle_boundaries	crossed commits=5 reclaims=3
arm:full-close:residency	full
arm:full-close:placement	b30ada0b80b8c5097b9ce8a5ec98f2627b1a45981ffbfa9a0f9eefa37b2ccbcf
arm:full-close:prompt_sha256	eeacb702911cd7a753bf21d1eb74556486704ea3526e6b575d676874763fa903
arm:full-close:a:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full-close:a:prompt_n	3900
arm:full-close:save-a	completed
arm:full-close:state_a_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:full-close:erase-a	completed
arm:full-close:restore-a	completed
arm:full-close:b:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full-close:b:prompt_n	3900
arm:full-close:c:tokens_sha256	9aaeab4028c8cbc04faeec96056fc364303b8a2cadbd03e26826f4a30f08375d
arm:full-close:c:prompt_n	7
arm:full-close:d:tokens_sha256	354793751ab6d3e7223cf267f809715112b0168101b9eab558f5add386765b35
arm:full-close:d:prompt_n	4
arm:full-close:save-d	completed
arm:full-close:state_d_sha256	f868fd53acfc2d9d7d369ffc2bfa428b6d2505d9247d9089f9e5a75145612061
arm:full-close:replies_abd	identical
arm:full-close:state_ad	identical
arm:full-close:layout	layout_holds
arm:full-close:residency_commits
arm:full-close:residency_reclaims
arm:full-close:residency_refusals
