arm_id	model_id	position	status	bench_sha256	evidence	note
b7-q4k	qwen38-4b-distill	01	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/01-b7-q4k	Q4_K_M census: Q4_K 61.11%, Q6_K 38.36%, F32 0.14%
b7-q5k	qwen38-4b-i1-q5km	02	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/02-b7-q5k	Q5_K_M census: Q5_K 65.76%, Q6_K 33.77%, F32 0.12%
b7-q6k	qwen38-4b-i1-q6k	03	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/03-b7-q6k	the discriminator arm: Q6_K census 99.58% single type
b8-q4k	qwen38-4b-distill	04	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/04-b8-q4k	the artifact runs both paths in one forward pass at this B
b8-q5k	qwen38-4b-i1-q5km	05	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/05-b8-q5k	the artifact runs both paths in one forward pass at this B
b8-q6k	qwen38-4b-i1-q6k	06	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/06-b8-q6k	the null step; the reading rests on this arm showing no step
b9-q4k	qwen38-4b-distill	07	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/07-b9-q4k	second step, attributable to Q6_K alone
b9-q5k	qwen38-4b-i1-q5km	08	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/08-b9-q5k	second step, attributable to Q6_K alone
b9-q6k	qwen38-4b-i1-q6k	09	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/09-b9-q6k	the discriminator's step
closing-b7-q4k	qwen38-4b-distill	10	completed	c51daa95fe2fc4086264e4694f0d7a10d1e8207184d3d6cdf2a01ed8538b6e4a	$HOME/qwen-b789-clean/10-closing-b7-q4k	closing control repeat of the opening arm
