capture	graph.sqlite
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	6106255.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	56624.0
median_device_busy_ns_pct_of_span	0.9
median_device_idle_ns	6048847.0
median_device_idle_ns_pct_of_span	99.1
median_api_host_ns	6028723.5
median_api_host_ns_pct_of_span	98.7
median_sync_host_ns	5763520.5
median_sync_host_ns_pct_of_span	94.4
median_host_uncovered_ns	61024.0
median_host_uncovered_ns_pct_of_span	1.0
min_span_ns	3143871
max_span_ns	8993239
min_device_busy_ns	55936
max_device_busy_ns	66336
min_device_idle_ns	3087711
max_device_idle_ns	8936695
min_api_host_ns	3087944
max_api_host_ns	8933115
min_sync_host_ns	2839907
max_sync_host_ns	8683477
min_host_uncovered_ns	52947
max_host_uncovered_ns	405101
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
