capture	node.sqlite
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4472244.0
median_span_ns_pct_of_span	100.0
median_device_busy_ns	2837927.0
median_device_busy_ns_pct_of_span	63.5
median_device_idle_ns	1516061.0
median_device_idle_ns_pct_of_span	33.9
median_api_host_ns	4138428.5
median_api_host_ns_pct_of_span	92.5
median_sync_host_ns	3091046.0
median_sync_host_ns_pct_of_span	69.1
median_host_uncovered_ns	64028.0
median_host_uncovered_ns_pct_of_span	1.4
min_span_ns	3772019
max_span_ns	6163638
min_device_busy_ns	2739841
max_device_busy_ns	3232487
min_device_idle_ns	992795
max_device_idle_ns	3164088
min_api_host_ns	3707469
max_api_host_ns	6101884
min_sync_host_ns	2041091
max_sync_host_ns	4056685
min_host_uncovered_ns	54383
max_host_uncovered_ns	1076972
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
