model_id	qwen38-2b-distill
control_sha256	b4e6429659cb514f2afb9a8eb462bb3a732dda1710a912657c4170be9c667fc3
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-bc2846e23fd2/bin/llama-server
subject_sha256	b4e6429659cb514f2afb9a8eb462bb3a732dda1710a912657c4170be9c667fc3
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-bc2846e23fd2/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	34505
