sdk_verified	accepted	nvidia_sdk_verify=accepted rows=4
physics.runtime_built	accepted	runtime_sha256=d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405
physics.ledger_promoted	accepted	physics-d6-chain-a validator-gated ceiling=100000 timeout_s=2 scene=d6-chain-4
geometry.runtime_built	accepted	runtime_sha256=b9ee1192c633934e733670c0affae39df9d2f4d9b653b3ac13fc41a7f1c3cce6
geometry.ledger_promoted	accepted	geometry-cube-orbit-a validator-gated ceiling=1048576 timeout_s=1 scene=cube-and-plane
preset_generated	accepted	physics_profile=physics-d6-chain-a geometry_profile=geometry-cube-orbit-a sections=1
sidecar_launch	accepted	physics_launch lane=armed profile=physics-d6-chain-a ledger=OUT/physics-profiles.tsv runtime=OUT/physx-rigid-runtime runtime_sha256=d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405 state=$HOME/qwen-webui-state/physics socket=$HOME/qwen-webui-state/physics/physics-service.sock;geometry_launch lane=armed profile=geometry-cube-orbit-a ledger=OUT/geometry-profiles.tsv runtime=OUT/optix-ray-runtime runtime_sha256=b9ee1192c633934e733670c0affae39df9d2f4d9b653b3ac13fc41a7f1c3cce6 state=$HOME/qwen-webui-state/geometry socket=$HOME/qwen-webui-state/geometry/geometry-service.sock;
physics.service_recorded	accepted	pid=2990749 pid=2990749 start_time=49132686 socket=$HOME/qwen-webui-state/physics/physics-service.sock runtime_sha256=d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405 lease=$HOME/qwen-webui-state/vulkan-workload.lock
physics.service_announced_built_runtime	accepted	d9f79dee23f8a06dd654aa0e2daf4403c737876858b07c5b211faefe7e78b405
geometry.service_recorded	accepted	pid=2990769 pid=2990769 start_time=49132697 socket=$HOME/qwen-webui-state/geometry/geometry-service.sock runtime_sha256=b9ee1192c633934e733670c0affae39df9d2f4d9b653b3ac13fc41a7f1c3cce6 lease=$HOME/qwen-webui-state/vulkan-workload.lock
geometry.shares_the_session_lease	accepted	$HOME/qwen-webui-state/vulkan-workload.lock
geometry.service_announced_built_runtime	accepted	b9ee1192c633934e733670c0affae39df9d2f4d9b653b3ac13fc41a7f1c3cce6
api_key_read	accepted	$HOME/qwen-webui-state/api.key
tool_enumeration	accepted	geometry_ray_query,physics_simulate_rigid, via http://127.0.0.1:8080
physics.listing_binds_runtime_scene_ceiling	accepted	scene=d6-chain-4 ceiling=100000
physics.broker_signs_profile	accepted	physics_profile=physics-d6-chain-a
geometry.listing_binds_runtime_scene_ceiling	accepted	scene=cube-and-plane ceiling=1048576
geometry.broker_signs_profile	accepted	geometry_profile=geometry-cube-orbit-a
session_secret_issued	accepted	status=200
physics.grant_issued	accepted	status=200 steps=600 bytes=668
physics.other_service_body_at_route_refused	accepted	status=400 the physics endpoint received a grant request naming service 'geometry'
physics.run_completed_with_gpu_proof	accepted	wall=0.812s steps=600 result_sha256=543ee89b04ac867f42fdf8963494002fce2ffd80c0aff72cb2a911a6be6e2483 simulate_ms=264.408 bodies=4 joints=4
physics.result_carries_summary_alone	accepted	counts, proof, and digests; no per-body or per-ray state
physics.nvml_compute_visibility	observed	runtime_samples=4 lease_held_samples=5
physics.grant_replay_refused	accepted	the authorization is spent; a grant admits one search and the operator issues another
physics.run_without_grant_refused	accepted	authorization names no grant
physics.count_outside_grant_refused	accepted	the run arguments leave the grant: arguments differ
physics.held_lease_refuses_run	accepted	the physics service refused the run: another workload holds the lease; one runs at a time
physics.lease_free_after_holder_released	accepted	$HOME/qwen-webui-state/vulkan-workload.lock
