check	arm	result	detail
reply_identity	host	identical	requests=6
clip_digests	host	identical	rows=6
graph_digests	host	identical	rows=6
placement	host	holds	graph_rows=6 clip_rows=6
clip_to_graph	host	agree	rows=6
reply_identity	device	identical	requests=6
clip_digests	device	identical	rows=6
graph_digests	device	identical	rows=6
placement	device	holds	graph_rows=6 clip_rows=6
clip_to_graph	device	agree	rows=6
reply_identity	host-close	identical	requests=6
clip_digests	host-close	identical	rows=6
graph_digests	host-close	identical	rows=6
placement	host-close	holds	graph_rows=6 clip_rows=6
clip_to_graph	host-close	agree	rows=6
refused_checks	-	0	-
