configuration_schema	2
actual_commit	f280b26983ad0fdb705a0d9ebf0503e76f2899b0
actual_tree	21045aed8b426d7a5e25a98e646054cbd9487e81
source_diff_sha256	5df9efb82145f9c991df5f497171b195e207c4ae560c2e09d69675b5293b1829
patch_series_sha256	e06394e775cb2002712d5036aab5954041d0323df0372321ecef53c740d1c49c
builder_sha256	85dc1ff3c4ac346a59e66b4be9ece1d563797d1d2a1d38e655fe735afeb3f77a
host_cc	/usr/bin/gcc-15
host_cc_version	15.3.0
host_cxx_version	15.3.0
nvcc_version	V13.4.59
cmake_version	4.4.3
ninja_version	1.13.2
shared_libs	ON
static	OFF
backend_dl	OFF
cpu	ON
cpu_all_variants	OFF
ccache	ON
blas	OFF
rpc	OFF
build_common	ON
build_tools	ON
build_server	ON
build_app	OFF
build_examples	OFF
build_tests	OFF
subprocess	ON
llguidance	OFF
arch	89-real
vulkan	OFF
graphs	ON
fa	ON
fa_all_quants	ON
nccl	OFF
no_vmm	OFF
compression	size
native	ON
lto	OFF
openmp	ON
llamafile	ON
cpu_repack	ON
build_ui	ON
openssl	ON
no_peer_copy	OFF
mmvq_q6k_max	10
mmvq_q8_0_max	16
mmq_tiling_percent	90
force_mmq	OFF
force_cublas	OFF
host_cxx	/usr/bin/g++-15
