monotonic_s	event	outcome
100574	holder.1.release	terminated
100574	holder.1.launcher	terminated
100588	holder.2.release	terminated
100588	holder.2.launcher	terminated
100588	client.release	terminated
100588	client.launcher	terminated
100593	arm_g.exit_with_client_attached	no
100593	client.release	terminated
100593	client.launcher	terminated
100593	holder.3.release	terminated
100593	holder.3.launcher	terminated
100599	holder.4.release	terminated
100599	holder.4.launcher	terminated
100600	server.3.stop	terminated
100601	holder.5.release	terminated
100601	holder.5.launcher	terminated
100611	holder.6.release	terminated
100611	holder.6.launcher	terminated
100613	server.5.stop	terminated
