model_id	qwen38-2b-distill
control_sha256	8c1a01fd254fbc53bf578ca00b5ed63f27588e513a5ade48437ffc036308c22c
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-ff875a2a7291/bin/llama-server
subject_sha256	8c1a01fd254fbc53bf578ca00b5ed63f27588e513a5ade48437ffc036308c22c
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-ff875a2a7291/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1 LLAMA_KV_PAGED_RESIDENCY=tails
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	35161
