model_id	lfm25-vl-450m
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-53e3d7d1a653
server_sha256	d320b04153c9ac675b5b44c92ecbb9f4854d12b3032a7913a56516af9453a121
images	bars.png compare-a.png shapes.png
repeats	2
predict_tokens	48
arms	host device host-close
model_sha256	1093f1331319199bbcacdbd7ecc9aa6e5678db6b55073948d0f508be90c8ab68
projector	mmproj-LFM2.5-VL-450m-Q8_0.gguf
projector_sha256	ebfc428baa37efad8bae93864f914b2634a09009f91ad59f974fe1a1565d8561
geometry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
clients_open	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
arm:host:embd_device	off
arm:host:01-bars	completed prompt_n=116 prompt_ms=69.381
arm:host:02-compare-a	completed prompt_n=105 prompt_ms=16.908
arm:host:03-shapes	completed prompt_n=105 prompt_ms=17.275
arm:host:04-bars	completed prompt_n=116 prompt_ms=16.389
arm:host:05-compare-a	completed prompt_n=105 prompt_ms=12.744
arm:host:06-shapes	completed prompt_n=105 prompt_ms=12.349
arm:host:trace_rows	12
arm:device:embd_device	on
arm:device:01-bars	completed prompt_n=116 prompt_ms=70.202
arm:device:02-compare-a	completed prompt_n=105 prompt_ms=21.895
arm:device:03-shapes	completed prompt_n=105 prompt_ms=19.48
arm:device:04-bars	completed prompt_n=116 prompt_ms=16.632
arm:device:05-compare-a	completed prompt_n=105 prompt_ms=12.465
arm:device:06-shapes	completed prompt_n=105 prompt_ms=13.345
arm:device:trace_rows	12
arm:host-close:embd_device	off
arm:host-close:01-bars	completed prompt_n=116 prompt_ms=69.737
arm:host-close:02-compare-a	completed prompt_n=105 prompt_ms=16.58
arm:host-close:03-shapes	completed prompt_n=105 prompt_ms=17.066
arm:host-close:04-bars	completed prompt_n=116 prompt_ms=14.005
arm:host-close:05-compare-a	completed prompt_n=105 prompt_ms=13.397
arm:host-close:06-shapes	completed prompt_n=105 prompt_ms=13.576
arm:host-close:trace_rows	12
clients_close	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
comparison_refusals	0
verdict	admitted
