field	value
rocm_sdk_version	10.1.0a20260825
wheel_rocm	10.1.0a20260825
wheel_rocm_sdk_core	10.1.0a20260825
wheel_rocm_sdk_devel	10.1.0a20260825
wheel_rocm_sdk_libraries	10.1.0a20260825
wheel_rocm_sdk_device_gfx900	10.1.0a20260825
python_version	3.12.3
rocm_path	$HOME/.venvs/rocm-gfx900/lib/python3.12/site-packages/_rocm_sdk_devel
hip_clang_version	AMD clang version 24.0.0git (https://github.com/ROCm/llvm-project.git a7525a1bd6f3bf2a8eb8a8ce35fd75ed1fd6a2ca)
hip_version	7.16.26332
rocminfo_target	gfx902
kernel	7.0.0-28-generic
amdgpu_module	in-tree, kernel 7.0.0-28-generic
mesa_runtime	26.2.1+git2608201115.88947685514~n~mesarc0
libstdcxx_14_dev	14.2.0-4ubuntu2~24.04.1
glibc	2.39-0ubuntu8.8
llama_cpp_commit	f280b26983ad0fdb705a0d9ebf0503e76f2899b0
llama_cpp_worktree	dirty, the repository patch series applied
llama_cpp_patched_files	ggml/src/ggml-vulkan/ggml-vulkan.cpp, src/llama-context.cpp, src/llama-model-loader.cpp
llama_cpp_added_files	ggml/src/ggml-vulkan/ggml-vulkan-pacing.h, ggml/src/ggml-vulkan/ggml-vulkan-submit-limit.h
llama_cpp_diff_stat	3 files changed, 180 insertions(+), 6 deletions(-)
llama_cpp_patch_check	remote/verify-llama-patch-series.sh
model_sha256	dec96e8cf2e11b613bb46513dec485377f9ca5a351e71712ee0e244f287c6790
