model_id	qwen35-08b
control_sha256	481791965565b2f899682d239abd8c5f237905d1948b3878a83178647c7ee2c3
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-e78064b45887/bin/llama-server
subject_sha256	481791965565b2f899682d239abd8c5f237905d1948b3878a83178647c7ee2c3
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-e78064b45887/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1 LLAMA_KV_PAGED_RESIDENCY=tails
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
split_redraws_budget	3
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	35279
level_1_split_redraws	control=0 subject=0
level_3_split_redraws	control=0 subject=0
