field	value
llama_cpp_base_commit	f280b26983ad0fdb705a0d9ebf0503e76f2899b0
reconstructable_commit	54f7f7a7ac554d0ef7ec16f9a2e1e8a93b551000
reconstructable_tree	ca89214846cf056897a949059b11e92fcd01580c
superseded_patch	patches/superseded/llama-cuda-dispatch-trace-force-mmvq.patch
superseded_patch_bytes	8821
superseded_patch_sha256	46b7a05e4fb636cd59166c20a5f77c6f1b5168f2eb953e6af9d08d7b5c663795
superseded_patch_replay	accepted
superseded_patch_promotion	refused
trace_only_build_base_commit	f280b26983ad0fdb705a0d9ebf0503e76f2899b0
trace_only_build_source_state	dirty one file 38 insertions
trace_only_build_exact_source	unavailable
trace_only_build_log_sha256	b5a666f8cb8ee0b888828054a4e8e4b693f29e0759159670f69b842e3710bd76
trace_only_executable_sha256	d1f934b2dc03bddfb4881e953175ae7df4cd262ee08324320782ddb57dfd401c
private_retention_class	raw-exact-target-evidence
private_retention_operation	verified_copy_source_preserved
private_regular_files	21
private_symlinks	16
evidence_bound_runtime_files	10
evidence_bound_runtime_bytes	161397600
private_sha256_manifest_sha256	65916cf59ac2989cd7a21667ff7e7f85bd9f333752e34944adce38a0326f520d
private_symlink_manifest_sha256	c41cd219348ef00b1b7bf37bdf0cbf8d7410bd223fe91f6efa262d0008e3035b
private_relocation_receipt_sha256	e0bca05425c8754ab2c862498e870dab4c7d8e482d8022cafe6939c6b6afe034
private_regular_file_verification	21 of 21 accepted
private_source_copy_comparison	accepted
runtime_execution	not_run
serving_configuration_change	none
