model_id	qwen35-2b
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-747c1c92585b
server_sha256	bcf278eaffc648763761524e1cc19935dffe1a31b7f00539a7bf6c3a62d04795
images	bars.png compare-a.png shapes.png
repeats	2
predict_tokens	48
arms	host device host-close
model_sha256	57a1085840f497d764a7fc5d346922dbde961efb54cc792ea81d694fd846a1d8
projector	mmproj-Qwen3.5-2B-f16.gguf
projector_sha256	044a0ea136cca70711ae16e23b24d754b44eab6f2462d187aee4d7c7a9503d36
geometry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
clients_open	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
arm:host:embd_device	off
arm:host:01-bars	completed prompt_n=114 prompt_ms=227.119
arm:host:02-compare-a	completed prompt_n=71 prompt_ms=34.292
arm:host:03-shapes	completed prompt_n=86 prompt_ms=36.173
arm:host:04-bars	completed prompt_n=114 prompt_ms=36.428
arm:host:05-compare-a	completed prompt_n=71 prompt_ms=31.551
arm:host:06-shapes	completed prompt_n=86 prompt_ms=33.531
arm:host:trace_rows	12
arm:device:embd_device	on
arm:device:01-bars	completed prompt_n=114 prompt_ms=118.538
arm:device:02-compare-a	completed prompt_n=71 prompt_ms=33.428
arm:device:03-shapes	completed prompt_n=86 prompt_ms=33.676
arm:device:04-bars	completed prompt_n=114 prompt_ms=37.967
arm:device:05-compare-a	completed prompt_n=71 prompt_ms=30.869
arm:device:06-shapes	completed prompt_n=86 prompt_ms=34.756
arm:device:trace_rows	6
arm:host-close:embd_device	off
arm:host-close:01-bars	completed prompt_n=114 prompt_ms=120.076
arm:host-close:02-compare-a	completed prompt_n=71 prompt_ms=33.348
arm:host-close:03-shapes	completed prompt_n=86 prompt_ms=36.675
arm:host-close:04-bars	completed prompt_n=114 prompt_ms=35.439
arm:host-close:05-compare-a	completed prompt_n=71 prompt_ms=31.909
arm:host-close:06-shapes	completed prompt_n=86 prompt_ms=32.277
arm:host-close:trace_rows	12
clients_close	cuda_client pid=1942 name=/usr/bin/kwin_wayland used=282 MiB exe=unreadable start_time=4765 cgroup=0::/user.slice/user-1000.slice/session-2.scope verdict=record-desktop;cuda_client pid=3551735 name=/opt/microsoft/msedge/msedge --type=gpu-process --enable-gpu-rasterization --enable-webgl-draft-extensions --ozone-platform=wayland --render-node-override=/dev/dri/renderD128 --crashpad-handler-pid=3551626 --enable-crash-reporter=? --disable-breakpad --change-stack-guard-on-fork=enable --gpu-preferences=YAAAAAAAAAAgAQAMAAAAAAAAAAAAAGAASAAAAAAAAAABAAAAAAAAAEAAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAMAAAAAAAAAAwAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAMAAAAAQAAAAAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --metrics-shmem-handle=4?i?10281378972512202149?4132987836958273433?262144 --field-trial-handle=3?i?9915705056276894669?14106460434181892088?262144 --enable-features=WebContentsForceDark?msCopilotMode2?msOmniboxComposerReformulationUx?msOmniboxCopilotChatCommercial --disable-features=EyeDropper --variations-seed-version --pseudonymization-salt-handle=7?i?15144530302869290792?8770019790890903922?4 --trace-process-track-uuid=3190708988185955192 used=228 MiB exe=/opt/microsoft/msedge/msedge start_time=33296844 cgroup=0::/user.slice/user-1000.slice/user@1000.service/app.slice/app-microsoft\x2dedge@cc06c4e777364a53a8ef593ef8967541.service verdict=record-desktop;named_llama_server_pids=-;
