geometry_runtime_sha256	c6087c41627515ac27fa1c7efa361632596c62730710b1e9acae5b3b9c61cb00
optix_header_version	90100
runtime_protocol_version	4
module_protocol_version	4
ordinary_user	accepted	yes
in_tree_execution_policy.geometry-cube-orbit-a	refused
in_tree_execution_policy.geometry-cube-orbit-a-resident	refused
subject_execution_policy	validator-gated
session_requests_declared	16
residency_budget_mib	512
application_budget_mib	40
requests_per_block	4
blocks	2
rays_requested	1048576
host_load_1m_before	2.27
gpu_utilization_before_percent	66
session_wall_s.one-shot.1	1.927
session_wall_s.resident.1	0.963
session_wall_s.one-shot.2	1.902
session_wall_s.resident.2	0.978
host_load_1m_after	3.61
gpu_utilization_after_percent	67
requests_served	accepted	16
reference_disagreements	accepted	0
resident_sessions_retired	accepted	2
retired_holding_device_memory	accepted	0
runtime_clients_observed_with_lease_free_sampled	1
idle_residency_readings	4
idle_residency_mib	214 346 214 346 
residency_observed_without_the_lease	accepted	yes
peak_runtime_residency_sampled_mib	346
peak_idle_residency_observed_mib	346
peak_worker_allocated_bytes	33558440
peak_worker_allocated_mib	32
residency_within_budget	accepted	yes
application_within_budget	accepted	yes
teardown	accepted	clean
cuda_clients_after	3
checks_total	9
checks_failed	0
