arm	request	label	phase	path	detail	src0_type	src1_type	dst_type	mode	graphs	distinct_shapes	dispatch_launches	graph_replays
V1-lfm25-vl-16b	outside	outside	text_decode	MMVQ	-	q6_K	f32	f32	eager	1	1	1	0
V1-lfm25-vl-16b	outside	outside	text_decode	MMVQ	fused	q4_K	f32	f32	eager	1	1	1	0
V1-lfm25-vl-16b	outside	outside	text_decode	MMVQ	fused	q6_K	f32	f32	eager	1	1	1	0
V1-lfm25-vl-16b	outside	outside	text_prefill	MMVQ	-	q4_K	f32	f32	eager	1	80	80	0
V1-lfm25-vl-16b	outside	outside	text_prefill	MMVQ	-	q6_K	f32	f32	eager	1	9	9	0
V1-lfm25-vl-16b	r1	text-only	graph_replay	graph_replay	-	-	-	-	replay	29	0	0	29
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	-	q4_K	f32	f32	capture	1	36	36	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	-	q4_K	f32	f32	eager	1	36	36	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	-	q6_K	f32	f32	capture	1	3	3	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	-	q6_K	f32	f32	eager	2	3	4	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	fused	q4_K	f32	f32	capture	1	30	30	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	fused	q4_K	f32	f32	eager	2	30	31	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	fused	q6_K	f32	f32	capture	1	8	8	0
V1-lfm25-vl-16b	r1	text-only	text_decode	MMVQ	fused	q6_K	f32	f32	eager	2	8	9	0
V1-lfm25-vl-16b	r1	text-only	text_prefill	MMQ	-	q4_K	f32	f32	eager	1	80	80	0
V1-lfm25-vl-16b	r1	text-only	text_prefill	MMQ	-	q6_K	f32	f32	eager	1	9	9	0
V1-lfm25-vl-16b	r2	cold-image	graph_replay	graph_replay	-	-	-	-	replay	20	0	0	20
V1-lfm25-vl-16b	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q4_K	f32	f32	eager	2	160	160	0
V1-lfm25-vl-16b	r2	cold-image	llm_prefill_from_image_embeddings	MMQ	-	q6_K	f32	f32	eager	2	18	18	0
V1-lfm25-vl-16b	r2	cold-image	llm_prefill_from_image_embeddings	MMVQ	-	q4_K	f32	f32	eager	1	80	80	0
V1-lfm25-vl-16b	r2	cold-image	llm_prefill_from_image_embeddings	MMVQ	-	q6_K	f32	f32	eager	1	9	9	0
