configuration_schema	2
actual_commit	f280b26983ad0fdb705a0d9ebf0503e76f2899b0
actual_tree	21045aed8b426d7a5e25a98e646054cbd9487e81
source_diff_sha256	c7d7d8ec4d177307106288ab42d5d977d444e04c06325a23f4ca56f6d1bae4a0
patch_series_sha256	e36becb5fcb097eb5561be2910997640af46e481d9e4a8a00e28f67d7db237a5
builder_sha256	9c96ed7394883e3fc0bc5883af566874a49a6c212f81e71e644ca4007e66a520
host_cc	/usr/bin/gcc-15
host_cc_version	15.3.0
host_cxx_version	15.3.0
nvcc_version	V13.3.73
cmake_version	4.4.3
ninja_version	1.13.2
shared_libs	ON
static	OFF
backend_dl	OFF
cpu	ON
cpu_all_variants	OFF
ccache	ON
blas	OFF
rpc	OFF
build_common	ON
build_tools	ON
build_server	ON
build_app	OFF
build_examples	OFF
build_tests	OFF
subprocess	ON
llguidance	OFF
arch	89-real
vulkan	OFF
graphs	ON
fa	ON
fa_all_quants	ON
nccl	OFF
no_vmm	OFF
compression	size
native	ON
lto	OFF
openmp	ON
llamafile	ON
cpu_repack	ON
build_ui	ON
openssl	ON
no_peer_copy	OFF
mmvq_q6k_max	10
mmvq_q8_0_max	16
force_mmq	OFF
force_cublas	OFF
host_cxx	/usr/bin/g++-15
