check	stage	arm	result	detail
reply_identity	registry	host	identical	requests=10
slice_digests	registry	host	identical	slices=52
projector_rows	registry	host	identical	chunks=52
trace_verdict	registry	host	holds	-
reply_identity	registry	device	identical	requests=10
slice_digests	registry	device	identical	slices=52
projector_rows	registry	device	identical	chunks=52
trace_verdict	registry	device	holds	-
reply_identity	registry	host-close	identical	requests=10
slice_digests	registry	host-close	identical	slices=52
projector_rows	registry	host-close	identical	chunks=52
trace_verdict	registry	host-close	holds	-
coverage	registry	device	partial	chunk_in_one_ubatch=yes chunk_split_across_ubatches=no chunk_split_across_decodes=no several_chunks_in_one_batch=no nonzero_row_offset_slices=no final_partial_ubatch=yes
encoder_tokens	registry	device	observed	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9:77 5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1:88 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:234 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:256 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:240 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:256 e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c:77 f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48:77
reply_identity	split	host	identical	requests=10
slice_digests	split	host	identical	slices=366
projector_rows	split	host	identical	chunks=52
trace_verdict	split	host	holds	-
reply_identity	split	device	identical	requests=10
slice_digests	split	device	identical	slices=366
projector_rows	split	device	identical	chunks=52
trace_verdict	split	device	holds	-
reply_identity	split	host-close	identical	requests=10
slice_digests	split	host-close	identical	slices=366
projector_rows	split	host-close	identical	chunks=52
trace_verdict	split	host-close	holds	-
coverage	split	device	partial	chunk_in_one_ubatch=no chunk_split_across_ubatches=yes chunk_split_across_decodes=yes several_chunks_in_one_batch=no nonzero_row_offset_slices=yes final_partial_ubatch=yes
encoder_tokens	split	device	observed	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9:77 5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1:88 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:234 696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb:256 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:240 af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855:256 e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c:77 f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48:77
required_coverage	identity	-	holds	reached=chunk_in_one_ubatch,chunk_split_across_ubatches,chunk_split_across_decodes,nonzero_row_offset_slices,final_partial_ubatch unreached=-
reply_identity	lifetime	host	identical	requests=6
slice_digests	lifetime	host	identical	slices=33
projector_rows	lifetime	host	identical	chunks=33
trace_verdict	lifetime	host	holds	-
cancellations	lifetime	host	observed	cancel-1:elapsed=0.0239:received=0 cancel-2:elapsed=0.101:received=0 cancel-3:elapsed=0.6014:received=0
cancel_releases	lifetime	host	observed	cancelled=3 release_n_tokens=2437,2532,2512
reply_identity	lifetime	device	identical	requests=6
slice_digests	lifetime	device	identical	slices=33
projector_rows	lifetime	device	identical	chunks=33
trace_verdict	lifetime	device	holds	-
cancellations	lifetime	device	observed	cancel-1:elapsed=0.0209:received=0 cancel-2:elapsed=0.101:received=0 cancel-3:elapsed=0.6014:received=0
cancel_releases	lifetime	device	observed	cancelled=3 release_n_tokens=2446,2544,2499
transfer	transfer	host	control_holds	dtoh=226 htod=72 dtod=0 row_bytes=4096 sizes=315392,360448,958464,983040,1048576 expected_dtoh=26 expected_htod=26 coincident_uploads=77824:1,262144:2,393216:2,524288:2,655360:2,786432:2,917504:2,946176:3,1048576:1,1081344:2,1310720:1,1441792:1,1572864:1,1703936:1,1720320:1,1835008:1,2875392:2,2949120:1,3145728:18 coincident_reads=262144:200
