model_id	lfm25-vl-450m
build_directory	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-228f5a79ba2c
server_sha256	c453ba34641a14640f60b8bfea0b7d8fa4de1d1bc1bb329fde068c1359376214
stages	identity lifetime transfer
request_shapes	single pair-adjacent pair-text large large-pair-text
geometries	registry split
required_coverage	chunk_in_one_ubatch chunk_split_across_ubatches chunk_split_across_decodes nonzero_row_offset_slices final_partial_ubatch
split_geometry	batch=64 ubatch=32
repeats	2
predict_tokens	48
arms	host device host-close
fixture:bars.png	5a202c8aba97cb7f97b49ce30a1e5a9ce071d11cbaa057c98b1d3bd4180db6b1
fixture:compare-a.png	316ffbf8b50f6fa9e97b91450254af8b8e240fe9afee8d72e3535683746e3fd9
fixture:compare-b.png	f0a18ed9e0ccdda83651b89c7558d69715b8befbc1d7166c0e8b71aef3c50c48
fixture:shapes.png	e3c5a55ce72132240d7bdb3920c09caa210777a824e2fd7c7ad37eca07a11c5c
fixture:bars-large.png	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb
fixture:shapes-large.png	af2dee69b26baef103365b22f5898d172673f139a07595d635d0277a00523855
model_sha256	1093f1331319199bbcacdbd7ecc9aa6e5678db6b55073948d0f508be90c8ab68
projector	mmproj-LFM2.5-VL-450m-Q8_0.gguf
projector_sha256	ebfc428baa37efad8bae93864f914b2634a09009f91ad59f974fe1a1565d8561
geometry_registry	context=65536 batch=2048 ubatch=512 cache_k=q8_0 cache_v=q4_0 flash_attn=on
