capture	graph.sqlite
device_rows_graph_trace	63
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4432423.0
median_span_ns_pct_of_span	100.0
median_device_busy_ns	4106241.0
median_device_busy_ns_pct_of_span	92.6
median_device_idle_ns	356173.5
median_device_idle_ns_pct_of_span	8.0
median_idle_between_device_rows_ns	145472.5
median_idle_between_device_rows_ns_pct_of_span	3.3
median_idle_outside_device_work_ns	213367.0
median_idle_outside_device_work_ns_pct_of_span	4.8
median_api_host_ns	4379878.0
median_api_host_ns_pct_of_span	98.8
median_sync_host_ns	4148792.0
median_sync_host_ns_pct_of_span	93.6
median_host_uncovered_ns	62419.0
median_host_uncovered_ns_pct_of_span	1.4
min_span_ns	4061857
max_span_ns	17328317
min_device_busy_ns	3771152
max_device_busy_ns	16369286
min_device_idle_ns	257244
max_device_idle_ns	1497077
min_idle_between_device_rows_ns	106657
max_idle_between_device_rows_ns	1344294
min_idle_outside_device_work_ns	143276
max_idle_outside_device_work_ns	387490
min_api_host_ns	3999715
max_api_host_ns	17215546
min_sync_host_ns	3812662
max_sync_host_ns	16937324
min_host_uncovered_ns	41777
max_host_uncovered_ns	145834
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
