capture	node.sqlite
device_rows_graph_trace	0
device_rows_kernel	46027
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	4940782.0
median_span_ns_pct_of_span	100.0
median_device_busy_ns	4093358.5
median_device_busy_ns_pct_of_span	82.8
median_device_idle_ns	826850.0
median_device_idle_ns_pct_of_span	16.7
median_idle_between_device_rows_ns	171944.0
median_idle_between_device_rows_ns_pct_of_span	3.5
median_idle_outside_device_work_ns	652003.0
median_idle_outside_device_work_ns_pct_of_span	13.2
median_api_host_ns	4876333.5
median_api_host_ns_pct_of_span	98.7
median_sync_host_ns	4170132.0
median_sync_host_ns_pct_of_span	84.4
median_host_uncovered_ns	61217.0
median_host_uncovered_ns_pct_of_span	1.2
min_span_ns	4454334
max_span_ns	19215140
min_device_busy_ns	3797735
max_device_busy_ns	18110191
min_device_idle_ns	656599
max_device_idle_ns	2671981
min_idle_between_device_rows_ns	125450
max_idle_between_device_rows_ns	1397733
min_idle_outside_device_work_ns	523119
max_idle_outside_device_work_ns	1611901
min_api_host_ns	4411574
max_api_host_ns	19082912
min_sync_host_ns	3860158
max_sync_host_ns	18315161
min_host_uncovered_ns	42760
max_host_uncovered_ns	221666
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
