slot	arm	profile	direction	prefill_tok_s	decode_tok_s	status	desktop_clients	control_digest
1	default-a	default	forward	21204.72	297.14	completed	kwin_wayland	2dd7d13e20d7017d
2	no-graphs-forward	no-graphs	forward	23585.54	271.00	completed	kwin_wayland	2dd7d13e20d7017d
3	default-after-no-graphs	default	forward	21852.90	299.70	completed	kwin_wayland	2dd7d13e20d7017d
4	no-fusion-forward	no-fusion	forward	21893.56	276.95	completed	kwin_wayland	2dd7d13e20d7017d
5	default-after-no-fusion	default	forward	21552.17	298.78	completed	kwin_wayland	2dd7d13e20d7017d
6	pdl-forward	pdl	forward	21473.53	297.66	completed	kwin_wayland	2dd7d13e20d7017d
7	default-after-pdl	default	forward	21729.86	298.71	completed	kwin_wayland	2dd7d13e20d7017d
8	pdl-reverse	pdl	reverse	21071.66	296.89	completed	kwin_wayland	2dd7d13e20d7017d
9	default-before-pdl	default	reverse	21189.57	304.95	completed	kwin_wayland	2dd7d13e20d7017d
10	no-fusion-reverse	no-fusion	reverse	21869.53	283.50	completed	kwin_wayland	2dd7d13e20d7017d
11	default-before-no-fusion	default	reverse	22534.41	305.97	completed	kwin_wayland	2dd7d13e20d7017d
12	no-graphs-reverse	no-graphs	reverse	24500.83	281.34	completed	kwin_wayland	2dd7d13e20d7017d
13	default-before-no-graphs	default	reverse	21733.08	304.45	completed	kwin_wayland	2dd7d13e20d7017d
