level	arm	burst	width	prefill_passes	prefill_split	reply_tokens	distinct_replies	first_divergence	divergence_pass_width	history_full_width	decode_passes	full_width_passes	full_width_span_s
1	control	0	1	1	no	0	1	none	-	-	0	0	0
1	control	1	1	1	no	127	1	none	-	yes	127	127	0.575966
1	control	2	1	1	no	0	1	none	-	-	0	0	0
1	control	3	1	1	no	127	1	none	-	yes	127	127	0.582292
1	control	4	1	1	no	0	1	none	-	-	0	0	0
1	control	5	1	1	no	127	1	none	-	yes	127	127	0.565833
1	control	6	1	1	no	0	1	none	-	-	0	0	0
1	control	7	1	1	no	127	1	none	-	yes	127	127	0.572355
1	control	8	1	1	no	0	1	none	-	-	0	0	0
1	control	9	1	1	no	127	1	none	-	yes	127	127	0.569233
1	subject	0	1	1	no	0	1	none	-	-	0	0	0
1	subject	1	1	1	no	127	1	none	-	yes	127	127	0.570823
1	subject	2	1	1	no	0	1	none	-	-	0	0	0
1	subject	3	1	1	no	127	1	none	-	yes	127	127	0.568278
1	subject	4	1	1	no	0	1	none	-	-	0	0	0
1	subject	5	1	1	no	127	1	none	-	yes	127	127	0.583246
1	subject	6	1	1	no	0	1	none	-	-	0	0	0
1	subject	7	1	1	no	127	1	none	-	yes	127	127	0.575092
1	subject	8	1	1	no	0	1	none	-	-	0	0	0
1	subject	9	1	1	no	127	1	none	-	yes	127	127	0.573051
3	control	0	3	3	yes	0	1	none	-	-	0	0	0
3	control	1	3	1	no	127	1	none	-	yes	127	127	0.735519
3	control	2	3	3	yes	0	1	none	-	-	0	0	0
3	control	3	3	1	no	127	1	none	-	yes	127	127	0.731069
3	control	4	3	3	yes	0	1	none	-	-	0	0	0
3	control	5	3	1	no	127	1	none	-	yes	127	127	0.753914
3	control	6	3	3	yes	0	1	none	-	-	0	0	0
3	control	7	3	2	yes	127	2	6	3	no	128	126	0.784298
3	control	8	3	3	yes	0	1	none	-	-	0	0	0
3	control	9	3	2	yes	127	2	6	3	no	128	126	0.767599
