image	codec	encoded_bytes	decoded_bytes	width	height	any_status	any_extensions	any_vs_stb	any_max_abs	any_htod_decoded	any_htod_encoded	any_htod_other	gpu_status	gpu_extensions	gpu_vs_stb	gpu_max_abs	gpu_htod_decoded	gpu_htod_encoded	gpu_htod_other	hw_status	hw_extensions	hw_vs_stb	hw_max_abs	hw_htod_decoded	hw_htod_encoded	hw_htod_other	hybrid_status	hybrid_extensions	hybrid_vs_stb	hybrid_max_abs	hybrid_htod_decoded	hybrid_htod_encoded	hybrid_htod_other	cpu_status	cpu_extensions	cpu_vs_stb	cpu_max_abs	cpu_htod_decoded	cpu_htod_encoded	cpu_htod_other	placement	device_decoder	device_vs_stb	lfm25-vl-450m_entries	lfm25-vl-450m_best_op	lfm25-vl-450m_best_differing_fraction	lfm25-vl-450m_best_max_abs_u8	lfm25-vl-450m_contract	qwen35-2b_entries	qwen35-2b_best_op	qwen35-2b_best_differing_fraction	qwen35-2b_best_max_abs_u8	qwen35-2b_contract
bars-baseline-420.jpg	jpeg	12737	280800	360	260	success	nvjpeg_cuda_decoder	no	3	0	0	300800	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	success	nvjpeg_cuda_decoder	no	3	0	0	300800	success	libjpeg_turbo_decoder	no	3	1	0	0	device_decoder	hybrid:nvjpeg_cuda_decoder	no	1	hqresize_linear_aa	0.022698	1	separate	1	hqresize_cubic_aa	0.025724	18	separate
bars-baseline-444.jpg	jpeg	14928	280800	360	260	success	nvjpeg_cuda_decoder	no	3	0	0	570752	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	success	nvjpeg_cuda_decoder	no	3	0	0	570752	success	libjpeg_turbo_decoder	no	2	1	0	0	device_decoder	hybrid:nvjpeg_cuda_decoder	no	1	hqresize_linear_aa	0.018947	1	separate	1	hqresize_cubic_aa	0.022128	19	separate
bars-gray.jpg	jpeg	10337	280800	360	260	success	nvjpeg_cuda_decoder	no	1	0	0	190592	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	success	nvjpeg_cuda_decoder	no	1	0	0	190592	success	libjpeg_turbo_decoder	no	1	1	0	0	device_decoder	hybrid:nvjpeg_cuda_decoder	no	1	hqresize_linear_aa	0.017756	1	separate	1	hqresize_cubic_aa	0.021063	18	separate
bars-large.png	png	8387	2527200	1080	780	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	6	not_run:tiled_layout	-	-	not_measured	1	hqresize_cubic_aa	0.001204	11	separate
bars-palette.png	png	698	280800	360	260	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	1	hqresize_linear_aa	0.006351	1	separate	1	hqresize_cubic_aa	0.008586	22	separate
bars.png	png	1728	280800	360	260	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	1	hqresize_linear_aa	0.006351	1	separate	1	hqresize_cubic_aa	0.008586	22	separate
bars-progressive.jpg	jpeg	9670	280800	360	260	success	nvjpeg_cuda_decoder	no	3	0	0	300800	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	success	nvjpeg_cuda_decoder	no	3	0	0	300800	success	libjpeg_turbo_decoder	no	3	1	0	0	device_decoder	hybrid:nvjpeg_cuda_decoder	no	1	hqresize_linear_aa	0.022698	1	separate	1	hqresize_cubic_aa	0.025724	18	separate
bars-rgba.png	png	1706	280800	360	260	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	1	hqresize_linear_aa	0.006351	1	separate	1	hqresize_cubic_aa	0.008586	22	separate
page.png	png	2316	441600	460	320	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	1	hqresize_linear_aa	0.000349	1	separate	1	hqresize_cubic_aa	0.046505	22	separate
shapes.png	png	1030	192000	320	200	success	opencv_png_decoder	yes	0	1	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	decoder_create:arch_mismatch	-	n/a	0	0	0	0	can_decode:codec_unsupported	-	n/a	0	0	0	0	success	opencv_png_decoder	yes	0	1	0	0	cpu_decoder_upload	-	n/a	1	resize_linear	0.000744	1	separate	1	hqresize_cubic_aa	0.004622	9	separate
