model_id	qwen38-2b-distill
control_sha256	49b2d73a7a47c98e144d6bd189c4c542983ed02213bf8f8fc37d053fb97726c5
control_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-adb111abc7cf/bin/llama-server
subject_sha256	49b2d73a7a47c98e144d6bd189c4c542983ed02213bf8f8fc37d053fb97726c5
subject_path	$HOME/src/llama.cpp-qwen-nvidia/build-qwen-cuda-adb111abc7cf/bin/llama-server
subject_environment	LLAMA_KV_PAGED_BUFFER=1
slot_depth	4096
slot_offset	0
context_checkpoints	8
prompt_tokens_requested	448
predict	128
filled_depth	576
admission	primed
repeats	4
levels	1 3
batch	2048
ubatch	512
prompt_tokens	448
passage_tokens	34509
