field	value
failed_head	ac037370239f1f73a82d37a9831ab00a6fb90301
failed_ci_run	https://github.com/Oichkatzelesfrettschen/qwen-nvidia/actions/runs/34196713986
failure	coding-agent-service Unix socket bind: AF_UNIX path too long
failed_temporary_layout	.local-artifacts/ci/tmp/
failed_socket_path_bytes	109
repaired_temporary_layout	.local-artifacts/tmp/
repaired_socket_path_bytes	106
linux_usable_socket_path_bytes	107
focused_fixture	scripts/test-coding-agent-service.py
focused_fixture_temporary_root_bytes	62
focused_fixture_exit	0
focused_fixture_result	coding_agent_service=accepted checks=51
failed_ci_log_sha256	1571013e63c87e2c474cae7c05cb47fa243e404cc1ccf4d7d475ca586997003b
focused_fixture_log_sha256	b1b170e91dd1be231589a57adb30e8e92f8829b403767504ed4d52156ace6fa7
