server_sha256	037b287eccd18d64248dc0997296be3eaa3e99a319acba90f5db1cfa70c095ec
model_a	qwen38-9b-distill
model_b	qwen38-2b-distill
model_a_bytes	5780090176
model_b_bytes	1312164224
volume	nvme1n1p2
page_size	4096
advise_dropped_pages	1411155
advise_resident_after	0
advise_cached_delta_kb	-5642784
advise_s	0.180
control-1_reload_a_ready_s	1.166
control-1_reload_a_sectors_read	0
control-1_reload_a_major_faults	1
control-1_load_b_ready_s	0.621
control-1_load_b_request_s	0.088
control-1_load_a_maps_while_serving	1
advise_reload_a_ready_s	17.144
advise_reload_a_sectors_read	23278968
advise_reload_a_major_faults	139020
advise_load_b_ready_s	0.622
advise_load_b_request_s	0.087
advise_load_a_maps_while_serving	1
control-2_reload_a_ready_s	1.295
control-2_reload_a_sectors_read	40136
control-2_reload_a_major_faults	6060
control-2_load_b_ready_s	1.890
control-2_load_b_request_s	0.162
control-2_load_a_maps_while_serving	1
