capture	graph.sqlite
device_rows_graph_trace	63
device_rows_kernel	1450
device_rows_memcpy	970
device_rows_memset	2
api_rows	16075
anchor	cudaGraphLaunch
tokens_partitioned	60
median_span_ns	3062238.5
median_span_ns_pct_of_span	100.0
median_device_busy_ns	2775821.5
median_device_busy_ns_pct_of_span	90.6
median_device_idle_ns	257113.5
median_device_idle_ns_pct_of_span	8.4
median_idle_between_device_rows_ns	100706.0
median_idle_between_device_rows_ns_pct_of_span	3.3
median_idle_outside_device_work_ns	139987.5
median_idle_outside_device_work_ns_pct_of_span	4.6
median_api_host_ns	3016943.0
median_api_host_ns_pct_of_span	98.5
median_sync_host_ns	2817146.0
median_sync_host_ns_pct_of_span	92.0
median_host_uncovered_ns	38020.5
median_host_uncovered_ns_pct_of_span	1.2
min_span_ns	2928447
max_span_ns	3453937
min_device_busy_ns	2701342
max_device_busy_ns	3102209
min_device_idle_ns	216994
max_device_idle_ns	458085
min_idle_between_device_rows_ns	80449
max_idle_between_device_rows_ns	321443
min_idle_outside_device_work_ns	135876
max_idle_outside_device_work_ns	254055
min_api_host_ns	2891680
max_api_host_ns	3392473
min_sync_host_ns	2730005
max_sync_host_ns	3203054
min_host_uncovered_ns	29665
max_host_uncovered_ns	66832
api_call	cudaGetDeviceProperties_v12000	7440
api_call	cuKernelGetName	2900
api_call	cudaLaunchKernel_v7000	2900
api_call	cudaStreamSynchronize_v3020	1756
api_call	cudaMemcpyAsync_v3020	970
api_call	cudaGraphLaunch_v10000	63
api_call	cudaMemGetInfo_v3020	4
api_call	cudaMalloc_v3020	4
api_call	cudaFree_v3020	4
api_call	cuLibraryGetKernel	3
api_call	cuLibraryLoadData	2
api_call	cudaMallocHost_v3020	2
api_call	cudaMemsetAsync_v3020	2
api_call	cudaStreamBeginCapture_v10000	2
api_call	cudaStreamEndCapture_v10000	2
api_call	cudaGraphInstantiate_v12000	2
api_call	cudaGraphExecUpdate_v10020	2
api_call	cudaGraphDestroy_v10000	2
api_call	cudaGraphExecDestroy_v10000	2
api_call	cudaFreeHost_v3020	2
