start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
567759193	567773402	Host-to-Device	300800	Pinned	Device	16	cudaMemcpyAsync_v3020	-	dctQuantInvJpegKernelMultiChannel	no	no
569203521	569215233	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
581063041	581089026	Host-to-Device	570752	Pinned	Device	30	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
581121090	581132642	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernel	yes	no
592277342	592286878	Host-to-Device	190592	Pinned	Device	44	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernel	no	no
592358079	592369631	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
608934680	608952088	Host-to-Device	300800	Pinned	Device	64	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
608978905	608990457	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
630327180	630404396	Host-to-Device	1843712	Pinned	Device	84	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
630454189	630536365	Device-to-Host	1843200	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	-	yes	no
