arm	row	file	outcome
checkpoint	qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	qwen38-4b-distill	bin/cat/cat.c	stop
checkpoint	qwen38-4b-distill	sys/arch/rp2040/dev/usb.c	stop
checkpoint	oxcoder-9b	sys/arch/rp2040/dev/flash_swap.c	capped
checkpoint	oxcoder-9b	bin/cat/cat.c	capped
checkpoint	oxcoder-9b	sys/arch/rp2040/dev/usb.c	stop
checkpoint	ornith15-9b	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	ornith15-9b	bin/cat/cat.c	stop
checkpoint	ornith15-9b	sys/arch/rp2040/dev/usb.c	stop
checkpoint	qwen3-4b-instruct-2507	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	qwen3-4b-instruct-2507	bin/cat/cat.c	stop
checkpoint	qwen3-4b-instruct-2507	sys/arch/rp2040/dev/usb.c	stop
checkpoint	qwable-9b-fable5	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	qwable-9b-fable5	bin/cat/cat.c	stop
checkpoint	qwable-9b-fable5	sys/arch/rp2040/dev/usb.c	stop
checkpoint	klear-agentforge-8b	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	klear-agentforge-8b	bin/cat/cat.c	stop
checkpoint	klear-agentforge-8b	sys/arch/rp2040/dev/usb.c	stop
checkpoint	hammer21-3b	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	hammer21-3b	bin/cat/cat.c	stop
checkpoint	hammer21-3b	sys/arch/rp2040/dev/usb.c	stop
checkpoint	granite40-micro	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	granite40-micro	bin/cat/cat.c	stop
checkpoint	granite40-micro	sys/arch/rp2040/dev/usb.c	stop
checkpoint	swe-dev-7b	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	swe-dev-7b	bin/cat/cat.c	stop
checkpoint	swe-dev-7b	sys/arch/rp2040/dev/usb.c	stop
checkpoint	swe-agent-lm-7b	sys/arch/rp2040/dev/flash_swap.c	stop
checkpoint	swe-agent-lm-7b	bin/cat/cat.c	stop
checkpoint	swe-agent-lm-7b	sys/arch/rp2040/dev/usb.c	stop
deployment	qwen38-4b-distill	sys/arch/rp2040/dev/flash_swap.c	stop
deployment	qwen38-4b-distill	bin/cat/cat.c	stop
deployment	qwen38-4b-distill	sys/arch/rp2040/dev/usb.c	stop
