start_ns	end_ns	kind	bytes	src_kind	dst_kind	stream	api	kernel_before	kernel_after	embedding_sized	row_multiple
648426584	648441368	Host-to-Device	300800	Pinned	Device	16	cudaMemcpyAsync_v3020	-	dctQuantInvJpegKernelMultiChannel	no	no
649809856	649821664	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
661553506	661591202	Host-to-Device	570752	Pinned	Device	30	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
661672354	661683906	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernel	yes	no
672343870	672353502	Host-to-Device	190592	Pinned	Device	44	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernel	no	no
672408094	672419678	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
681299088	681407536	Host-to-Device	2527200	Pinned	Device	58	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
681446513	681595794	Device-to-Host	2527200	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
686404108	686417324	Host-to-Device	280800	Pinned	Device	60	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
686429677	686441325	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
688484696	688498168	Host-to-Device	280800	Pinned	Device	62	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
688511576	688523256	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
700072569	700086745	Host-to-Device	300800	Pinned	Device	64	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
700112377	700123929	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
702932969	702948105	Host-to-Device	280800	Pinned	Device	78	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
702961417	702973129	Device-to-Host	280800	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
705343318	705364086	Host-to-Device	441600	Pinned	Device	80	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
705378838	705396599	Device-to-Host	441600	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
707254209	707263777	Host-to-Device	192000	Pinned	Device	82	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
707275041	707283361	Device-to-Host	192000	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	yes	no
726707118	726782222	Host-to-Device	1843712	Pinned	Device	84	cudaMemcpyAsync_v3020	ycbcr_to_format_kernel_roi	dctQuantInvJpegKernelMultiChannel	no	no
726835566	726917071	Device-to-Host	1843200	Device	Pageable	7	cudaMemcpy_v3020	ycbcr_to_format_kernel_roi	-	yes	no
