mutation	suite_exit	failing_arms
M01_device_targets_never_counted	1	test_a_change_reaching_a_device_target_refutes_the_isolation,test_a_second_object_named_by_relative_path_is_traced_too
M02_configuration_axis_never_refuses	1	test_a_second_configuration_axis_ends_the_run
M03_build_path_difference_unreported	1	test_differing_build_paths_report_the_byte_comparison_unavailable
M04_unread_device_payload_reads_as_held	1	test_a_disassembly_carrying_no_function_is_not_a_device_reading,test_an_unread_device_payload_leaves_the_isolation_not_established,test_two_identifiers_naming_one_unit_leave_the_reading_unresolved
M05_untraced_source_never_counted	1	test_a_source_ninja_traces_to_no_object_is_not_established
M06_sanitizer_leaves_paths_outside_home	1	test_the_retained_rows_carry_no_absolute_path
M07_module_identifiers_share_one_placeholder	0	-
M07b_unit_collision_unchecked	1	test_two_identifiers_naming_one_unit_leave_the_reading_unresolved
M08_empty_disassembly_accepted	1	test_a_disassembly_carrying_no_function_is_not_a_device_reading
M09_second_object_never_unioned	1	test_a_second_object_named_by_relative_path_is_traced_too
M10_source_binding_never_required	1	test_a_source_tree_that_moved_since_its_build_is_not_established,test_two_builds_naming_one_source_tree_are_not_established
M11_unevaluated_edges_ignored	1	test_an_edge_the_parser_cannot_evaluate_is_not_established
M12_graph_agreement_over_artifacts_only	1	test_graphs_disagreeing_away_from_bin_are_not_established
M13_porcelain_read_without_nul	1	test_a_change_reaching_a_device_target_refutes_the_isolation,test_a_differing_path_carrying_a_space_is_counted,test_a_host_only_change_with_agreeing_device_code_holds_the_isolation,test_a_second_object_named_by_relative_path_is_traced_too,test_a_source_ninja_traces_to_no_object_is_not_established,test_graphs_disagreeing_away_from_bin_are_not_established
reader restored byte-identical
