graph_index	t_ns	mode	n_nodes	op	path	detail	src0_name	dst_name	src0_type	src1_type	dst_type	ne00	ne01	ne02	ne03	ne10	ne11	ne12	ne13	nb01	nb02	nb03	nb11	nb12	nb13	src0_contiguous	src1_contiguous	src0_transposed	batch_count	launches
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.attn_gate.weight	z-0	q8_0	f32	f32	1024	2048	1	1	1024	2	1	1	1088	2228224	2228224	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.attn_qkv.weight	node_13	q8_0	f32	f32	1024	6144	1	1	1024	2	1	1	1088	6684672	6684672	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ffn_down.weight	ffn_out-0	q8_0	f32	f32	3584	1024	1	1	3584	2	1	1	3808	3899392	3899392	14336	28672	28672	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ffn_gate.weight	ffn_gate-0	q8_0	f32	f32	1024	3584	1	1	1024	2	1	1	1088	3899392	3899392	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ffn_up.weight	ffn_up-0	q8_0	f32	f32	1024	3584	1	1	1024	2	1	1	1088	3899392	3899392	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ssm_alpha.weight	node_34	q8_0	f32	f32	1024	16	1	1	1024	2	1	1	1088	17408	17408	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ssm_beta.weight	node_40	q8_0	f32	f32	1024	16	1	1	1024	2	1	1	1088	17408	17408	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.0.ssm_out.weight	linear_attn_out-0	q8_0	f32	f32	2048	1024	1	1	2048	2	1	1	2176	2228224	2228224	8192	16384	16384	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.1.attn_gate.weight	z-1	q8_0	f32	f32	1024	2048	1	1	1024	2	1	1	1088	2228224	2228224	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.1.attn_qkv.weight	node_76	q8_0	f32	f32	1024	6144	1	1	1024	2	1	1	1088	6684672	6684672	4096	8192	8192	1	1	0	1	1
0	1788292017563178441	eager	1447	MUL_MAT	MMVQ	-	blk.1.ffn_down.weight	ffn_out-1	q8_0	f32	f32	3584	1024	1	1	3584	2	1	1	3808	3899392	3899392	14336	28672	28672	1	1	0	1	1
